feature_index,signal_type,signal_scale,noise_variance
28,step,0.80,1.00
42,step,0.80,1.00
45,step,0.80,1.00
55,step,0.80,1.00
88,step,0.80,1.00
103,step,0.80,1.00
106,step,0.80,1.00
107,step,0.80,1.00
126,step,0.80,1.00
133,step,0.80,1.00
137,step,0.80,1.00
180,step,0.80,1.00
181,step,0.80,1.00
202,step,0.80,1.00
247,step,0.80,1.00
272,step,0.80,1.00
307,step,0.80,1.00
314,step,0.80,1.00
335,step,0.80,1.00
348,step,0.80,1.00
359,step,0.80,1.00
369,step,0.80,1.00
384,step,0.80,1.00
406,step,0.80,1.00
407,step,0.80,1.00
421,step,0.80,1.00
517,step,0.80,1.00
529,step,0.80,1.00
545,step,0.80,1.00
566,step,0.80,1.00
588,step,0.80,1.00
628,step,0.80,1.00
642,step,0.80,1.00
643,step,0.80,1.00
661,step,0.80,1.00
662,step,0.80,1.00
687,step,0.80,1.00
717,step,0.80,1.00
721,step,0.80,1.00
754,step,0.80,1.00
765,step,0.80,1.00
827,step,0.80,1.00
865,step,0.80,1.00
874,step,0.80,1.00
914,step,0.80,1.00
953,step,0.80,1.00
954,step,0.80,1.00
961,step,0.80,1.00
962,step,0.80,1.00
988,step,0.80,1.00
