variable,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
variable_1,0.247135,0.151049,-0.355308,1.782938,-0.129246,0.138459,-0.106744,2.075671,-0.306356,0.774074,-1.631888,0.138744,-2.305063,-1.381908,1.729161,0.950648,-0.037933,-0.125889,-0.333238,-0.187539,-1.206308,0.165758,2.832954,-0.009949,0.285888,-0.478271,0.255412,-0.359936,-0.727241,-1.457036,-0.988376,-0.340861,-0.211347,0.453695,0.132207,-0.728846,-0.562216,0.064708,-1.000375,-0.621068,0.702732,0.458563,0.481863,-1.178306,0.999770,0.839133,-0.487008,0.816372,0.945693,1.709173,0.086143,-0.185076,-0.786626,-1.504048,0.473141,0.038956,-0.812796,1.747479,-1.618764,-1.254414,0.425285,-0.714431,0.196244,-0.192294,-0.429116,0.961373,-0.141100,-1.067584,0.160753,-0.404890,-0.195369,-0.153536,-2.081249,-0.860086,0.386642,-0.046300,-0.691374,1.183563,-0.819929,1.000005,0.174495,1.036680,-0.272014,1.334164,0.389296,0.727023,1.508279,0.322167,-0.173777,-1.477287,0.337319,-0.076823,-0.139922,-0.487747,-1.085622,1.428447,-1.709909,1.217587,-0.801285,0.146904
variable_2,0.496752,0.856799,-1.711730,-1.464763,-0.066245,-2.004758,-0.993979,1.280047,0.069186,0.989791,-0.209097,0.505002,0.074564,-0.016248,-0.469417,0.079725,-1.516743,-0.558907,-0.460730,0.023670,-0.451579,-0.012263,-0.575082,-0.758056,-0.059215,-0.055118,1.770602,-0.533238,0.930611,0.307481,0.893156,0.116692,1.185902,0.818450,-1.445577,1.840031,0.972156,-1.476052,1.848328,-0.369528,-1.052849,2.163938,0.148184,-1.740613,0.102934,0.982499,-0.265953,-0.002471,2.397449,-0.453766,0.799739,0.524020,-0.529338,0.679270,0.504815,-0.481230,-0.705816,0.300074,1.179668,0.102895,0.419445,0.386675,1.969653,-0.202239,1.228554,-0.313071,-1.118739,-0.906189,0.034198,0.039337,0.107964,-0.235143,1.403397,-0.780530,1.220214,-0.919795,0.135689,-0.881917,-0.338835,0.633636,0.900684,-0.904154,-1.747279,-0.567758,1.354981,1.387235,-1.025838,-1.296995,-0.834040,-1.620641,0.719903,1.356002,-0.381591,0.023606,1.159509,0.092287,-0.969091,2.056060,1.797733,2.557311
variable_3,1.653224,-0.252644,0.302454,-1.078099,-1.354246,0.040756,1.063714,0.244698,0.885697,1.084033,-0.676821,-0.295364,0.410884,1.003972,-0.331674,0.335159,-0.086431,1.325860,-0.298006,0.228451,-0.471310,0.552773,0.383305,-0.158064,0.349287,1.331259,-1.552671,-0.275666,-0.637753,0.885504,-0.585022,2.367776,-0.727776,1.173350,-0.375463,0.155496,-1.074300,-2.700852,-1.143870,0.092532,-1.030543,1.887891,0.379886,-1.220122,-0.366623,-1.033298,0.539802,-0.476432,1.971545,0.238121,0.753276,0.966085,0.554531,-1.218423,1.247825,0.917577,-1.351992,0.592587,-0.788287,0.537524,-0.528136,0.211495,1.130441,-0.322199,0.163357,-0.188833,0.044230,0.392684,0.917056,0.175658,-0.298140,-0.303169,0.742397,-0.710636,2.573280,-1.066727,-0.776899,-1.475884,-1.263568,2.077680,-0.575491,-2.918574,0.624876,-1.394369,0.873550,-0.540810,-1.257312,0.175779,0.019752,0.468930,-0.953375,0.256248,-0.552229,1.630955,-0.504069,1.645581,0.456459,-0.001538,-1.228880,0.962839
variable_4,-0.280015,1.174921,-1.470933,0.814555,1.224895,-1.512818,-0.454502,0.311881,-0.011601,-0.594386,1.009130,-0.042963,-0.218960,0.650118,0.669077,-0.075400,-0.918148,1.133171,2.360259,-1.494796,0.520893,-0.111930,1.144367,-0.201293,-0.813611,1.242582,-0.016983,1.320090,1.782425,-1.718903,-0.745875,-0.969167,-1.107728,-0.016813,-0.003406,-0.035953,0.863600,-1.598524,-0.683238,-0.609950,-0.347192,-0.868919,0.478531,0.703658,0.924839,-0.695474,0.866293,-1.757641,0.808088,-0.700675,-0.417586,-1.200537,-0.940472,0.698517,-2.114798,-0.343600,-1.950618,3.132632,-0.334851,-0.192700,1.437698,0.381476,-1.143601,1.019880,0.204056,-1.076343,0.349980,0.619586,-0.313850,-1.993089,-0.538949,0.835503,0.254046,0.632719,0.648280,1.281307,1.083198,-0.450384,0.006705,0.242259,-0.350743,-1.382766,-0.521863,0.284915,-1.207843,2.865238,1.756531,0.894651,-0.424880,-1.234415,-0.371679,-1.037696,-0.476636,0.834163,-0.116920,0.030318,-1.152028,-0.974719,-0.152005,0.266744
variable_5,0.086619,0.197257,1.232159,-0.054640,0.876087,-2.482573,0.906031,1.044950,-1.264953,2.111550,0.109266,-1.065055,-0.003406,-0.053242,1.003643,0.797182,-0.186043,-1.081159,-0.296738,0.714476,-0.321554,1.919270,-0.846631,0.383424,0.421427,-0.210771,-0.878067,-0.487074,0.742904,-2.065909,-1.899106,0.401281,-1.203638,0.522103,-0.492443,-0.034035,-0.232962,0.181901,0.082484,-1.084726,1.111987,0.271196,2.634444,-1.028611,-0.021914,0.399641,-1.416584,-1.364977,1.165102,-2.352545,0.489857,-0.381248,-0.640800,1.192045,-0.231236,-1.801793,0.131757,0.258669,-1.260880,-1.268659,-0.145931,0.798047,0.246152,-0.623582,0.315899,0.159429,0.714779,1.126891,-1.315829,1.722195,-0.283154,-0.818038,1.486982,0.813125,0.429014,0.501005,-0.012312,-0.070646,-1.060597,-0.076945,0.978510,0.357109,-0.091368,0.873625,-1.183380,1.716718,0.257733,-2.008812,-0.225688,-1.219008,-1.359912,0.135084,-1.005036,-0.164853,0.821251,0.458440,-0.366126,0.501566,-0.011084,0.674140
variable_6,-1.712199,-2.354727,-2.584052,-1.615752,-0.643024,-2.450801,-3.619745,-1.454813,-2.581862,-2.330659,-2.679489,-3.912643,-0.660859,-2.731169,-5.051530,-2.997084,-1.755380,-1.201751,-2.897370,-1.775624,-3.426971,-0.323281,-2.444480,-3.449592,-1.222010,-3.341882,-2.270227,-2.667964,-1.915460,-0.942116,-1.392117,-1.716194,-1.588472,-2.615276,-2.293243,-1.965725,-3.204357,-2.943787,-2.435688,-2.480146,-1.451928,-1.682000,-2.192494,-3.145615,-2.776952,-2.456545,-2.576715,-1.480470,-2.732868,-3.103460,2.206056,1.956254,3.869540,2.862053,1.662716,2.015814,1.121489,1.565405,2.712954,2.675547,3.030459,2.357563,2.333210,3.357377,2.139460,1.148875,1.722732,2.059141,2.819228,1.556457,2.159350,2.017446,1.599995,1.640733,3.054329,2.726377,4.011869,1.243180,1.974343,2.945200,1.253404,2.021069,5.572946,3.822506,0.641182,2.135993,1.430392,1.998474,1.856148,2.147274,1.890434,1.405254,2.447658,3.359739,1.694137,1.948842,1.476204,4.147813,1.742368,1.118378
variable_7,0.221139,-1.532399,0.431873,1.192674,0.632759,0.021310,-0.814551,-1.226055,0.855315,0.733970,0.319414,0.061294,-0.528945,0.663882,0.415014,0.891454,1.582026,-0.604591,-0.680590,-2.123123,-1.132778,-1.300451,1.779475,1.210346,0.263949,-0.444017,-0.976510,1.430197,0.867989,0.846643,-0.233449,-1.067466,-0.481042,1.714165,-0.570794,-0.392436,0.756764,-1.577188,-0.148259,1.062779,-0.851212,-0.203772,-0.142640,0.397745,1.373315,1.726742,-0.243921,3.461479,0.958175,0.597615,1.770705,2.190508,0.311628,-0.229971,0.256501,-0.073619,0.123772,1.202623,-0.487268,0.334515,-0.511248,-1.323740,-0.605624,-0.766317,-1.486097,-0.031841,1.106878,-0.420172,0.123655,1.000504,-0.795951,-0.854646,0.911624,0.461244,1.487108,-1.897248,-1.461618,1.109661,-0.504775,1.258675,0.611135,1.414615,1.598226,-0.313582,-0.356096,0.606719,-1.146154,-1.611125,2.531141,-0.421295,-0.091915,0.917646,-2.436478,0.749764,-0.939487,0.638081,-0.721252,-0.184108,-0.181169,-0.011827
variable_8,0.454912,-0.067572,0.597093,2.401520,-0.481642,-1.380090,0.843387,-0.017290,-1.064861,1.606810,-2.088201,0.646739,-0.224901,2.030532,-0.871575,0.258060,0.165780,-0.871060,0.690484,0.317649,1.506584,-1.482892,1.816968,-0.347326,2.025600,1.210891,0.159450,2.061426,0.328170,-0.564626,-0.540816,-1.101145,1.187590,1.085482,1.868939,0.276202,0.279410,1.101638,-0.517532,-0.337243,0.479680,-1.337647,1.256677,0.019931,0.221550,0.524459,-0.761421,0.043687,1.135085,1.299704,0.396495,0.211461,0.289325,-0.806414,-0.856691,-0.564669,-0.008864,-0.908294,-0.048681,0.628765,0.820645,-0.702440,1.546525,-0.528455,1.495933,-0.683514,-2.303758,-1.163195,-0.083533,0.541941,1.133711,-0.135956,0.477337,-0.088633,-0.591183,0.811792,-0.588305,0.186896,-0.577549,2.128752,0.115167,0.143729,0.684922,0.168885,-1.307699,-1.377220,1.380040,-0.215951,1.196004,-1.350084,2.441339,0.485044,0.224043,1.869403,-0.964182,-0.474886,-0.248176,-1.880403,0.887207,-0.264463
variable_9,-0.383678,0.247293,-1.618860,1.428647,-0.479605,-0.479424,1.396471,-0.949610,-1.001051,0.109214,0.795473,0.214598,0.816427,-1.408480,-1.420343,1.139716,0.051410,2.152532,1.148219,-1.303554,-0.200859,-0.815203,0.223038,-0.290980,1.668379,-1.054017,0.612943,0.329350,0.186812,0.397122,-0.639399,-0.232571,-0.919581,-0.199596,1.989813,1.575471,-0.125942,0.081633,0.929887,-0.829723,-0.579677,-0.690779,1.737579,-1.951523,0.401685,0.539111,-1.491489,-0.829536,0.517789,2.192147,-0.825809,0.826883,0.502415,-0.398047,-1.849133,-0.637844,-1.044404,0.064833,1.263465,-0.337103,-0.100122,-1.139677,-1.478046,0.093077,-0.428519,-1.421924,-0.075336,0.074402,-1.437227,0.340941,1.339366,0.258303,-1.514590,-1.421913,1.003768,-0.006384,1.602949,-1.111622,0.227904,-0.501456,-0.232627,0.063707,0.118894,-0.708887,-0.118864,-1.433509,-0.702939,0.860481,-0.600305,-0.021601,0.294746,-0.044203,-0.998342,-0.813968,0.307985,0.546632,0.076093,-1.349256,-0.107385,-0.443855
variable_10,-0.553505,-1.035488,-2.127965,1.624249,0.577098,0.783726,0.450440,0.565560,-0.957216,1.331221,0.207523,-0.005429,0.001997,0.747614,-1.775384,0.271534,-1.149326,1.155646,0.951605,0.428720,-0.374638,0.810863,0.398480,1.363149,1.225677,1.324389,0.027188,0.068032,1.265054,0.044161,0.834877,0.805828,-1.594206,1.383549,-0.019207,-0.153387,-0.551695,-0.315656,2.458359,-0.523219,1.921228,-0.914839,0.849379,1.195331,0.747453,-1.285654,0.405322,-1.040764,1.294080,1.892342,0.040597,-1.497019,0.130369,0.484627,-0.123422,-1.727881,0.061793,0.075153,-0.785015,0.495260,0.067971,1.298108,-0.653789,-0.359086,-0.599571,0.405367,-0.391141,0.003004,-0.153975,-0.100652,-0.677422,1.495493,-0.746865,1.136640,-0.923151,0.617184,1.456589,-1.124283,0.758640,0.412163,-0.168255,-0.751218,-0.964008,2.122870,-1.844448,2.010134,-0.438050,0.581919,1.023432,-0.699557,2.641602,-1.252660,-0.316700,2.031858,-0.639591,-0.219371,0.188642,1.218532,1.485052,0.880543
