variable,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
variable_1,-2.376865,1.065029,0.205122,1.005097,0.371151,1.095932,-2.027606,0.628965,-2.043276,-0.715726,-0.649863,-0.646579,-0.292908,-0.399195,-0.721698,0.184949,0.172570,-1.912354,-0.112259,-1.104996,1.214659,-0.315093,-0.108244,-1.753804,1.389594,-0.257061,0.047969,-1.194498,-0.441489,-1.822296,0.228318,-0.183238,-0.103961,-0.894996,-0.488497,-0.167460,-1.574598,-1.533417,-0.145295,1.795411,0.928564,1.263991,0.644109,0.916711,-0.100211,-0.891928,1.374089,-1.909777,0.415710,0.218006,1.329723,-0.032463,-1.525398,0.825789,0.564939,-0.227145,-2.541289,1.120694,1.623743,2.929753,0.758378,1.070293,-0.279090,-1.703480,-1.197098,0.408023,0.011475,0.071669,0.574214,0.596015,-0.047168,-0.999034,0.074984,0.087706,0.797982,-0.930375,-1.020421,-0.509171,0.349837,0.165910,-2.220400,0.731104,-0.488754,1.628381,-0.369928,-0.206228,0.418159,0.591044,-0.397277,-1.026916,2.061982,-0.156097,1.288796,-1.214552,-0.391885,2.460267,-0.411248,0.715813,-1.336756,-0.954287
variable_2,0.241245,1.607866,-0.535711,-0.191387,0.147323,0.090981,-0.807243,2.023006,-0.219109,-0.633053,-1.119287,0.700076,2.660428,0.398594,-0.705063,0.221565,-0.752506,-3.519958,-0.275743,-0.019410,0.543635,-0.093379,-1.404034,0.682891,-1.955566,1.399239,0.403732,-0.625367,0.461339,-1.603436,-0.260951,-0.629959,-0.047702,-1.716975,0.080604,0.074142,-0.253148,0.074254,1.070916,-2.330297,-1.897158,0.079606,-0.667973,0.757869,0.605165,1.441815,1.763526,0.228025,0.064062,0.125781,1.552369,-0.604011,-1.150837,-1.113271,-1.309153,0.418128,-0.233270,0.288419,0.230962,0.996877,-0.237592,-2.274642,2.201327,-2.446463,-1.213613,0.487090,0.537059,-0.316339,2.426962,-0.637847,-0.735263,-0.170597,-0.508478,0.634819,1.052847,-1.048248,-0.383661,0.043348,-0.146898,-0.871332,0.245512,0.484995,-0.975789,-1.128818,-1.012396,-2.174854,-2.696918,-0.378924,-1.015258,0.481245,1.167105,1.234148,-0.302438,-0.473104,2.054194,-1.234770,-0.731912,0.677735,-0.871722,1.337406
variable_3,-0.910062,-0.955041,-0.333468,0.020212,-0.831192,0.139183,0.465716,0.242682,0.452265,-0.308778,-1.164207,0.314082,0.369274,-1.495074,-0.293522,0.235355,-0.431315,1.225032,-1.314925,0.399732,0.113622,-1.155149,0.241267,-0.062709,-0.025404,-1.299729,1.389937,-0.175415,-1.094363,-2.374584,-0.435900,-1.826859,-1.306382,0.206847,-0.989094,-0.860212,0.160812,2.208459,-0.895214,0.533349,-0.304313,-0.967053,0.881670,-0.876169,1.247865,1.131694,-0.058402,1.235338,0.919920,-1.329204,1.770417,0.299553,-0.489480,-0.004681,-0.650421,-0.154144,-0.229855,-1.003366,1.459489,-0.473640,-0.308016,0.971794,-1.044022,0.491984,-0.737866,-0.754330,0.590629,0.471013,0.810698,-0.929987,0.240861,-0.777566,0.328923,1.493712,-1.010341,-0.711650,1.312765,-0.642441,-0.757400,-1.118945,-0.133821,-1.057052,-0.225856,0.658479,1.494533,0.116613,-0.152147,0.388758,0.853953,0.110668,-0.704703,-0.302790,0.052927,1.263669,0.459065,2.812501,1.810365,0.549992,1.480212,-0.824304
variable_4,2.546512,0.958090,-0.310389,0.126997,-0.296953,0.090624,-0.399468,1.140680,1.573095,-1.562606,-1.321162,-0.169009,-0.689996,1.474953,0.432751,1.243935,0.439295,0.101257,-0.416690,-1.663559,-0.305037,0.333570,-1.943314,0.367028,-0.917901,0.663824,-0.241224,1.484159,-0.651743,0.450247,-0.679759,-1.068417,-0.335743,0.917142,0.812604,-0.734584,2.389629,-1.696791,-1.225584,-0.456516,0.241126,-0.978469,1.308322,2.174678,-0.399217,-0.263666,0.137924,0.782096,-0.161957,-0.205608,-1.347760,0.085571,-1.057362,-1.427157,2.258318,0.860180,0.328087,0.140627,0.030827,0.464939,-0.812249,0.239024,0.446840,-1.929904,-0.676360,-0.328494,0.084203,-0.355938,1.432557,0.020236,-0.804311,1.277132,-1.239543,-1.364250,0.214833,-0.687922,0.540285,-0.597525,-0.894117,-2.450779,-1.215134,-0.938016,-0.227708,-1.251069,0.590276,-0.813623,0.803854,0.282667,0.331251,-1.909437,1.113915,-0.873211,0.850805,1.664330,1.134227,-0.710323,1.700139,0.358585,0.409601,0.919339
variable_5,-0.268605,-1.234175,-1.174202,0.034613,0.777507,-1.142914,0.661943,-0.869758,-0.302324,0.030103,-0.695283,-1.376011,-0.305984,0.408220,-2.191356,0.263805,0.652838,0.799429,0.161498,-0.796785,-0.650448,0.533615,0.116405,0.629871,0.029410,0.920403,-1.516627,0.075905,-0.726576,1.128288,0.156019,0.253341,0.143446,0.978884,-0.471236,-0.059888,0.962071,-1.403589,-0.670175,-1.238018,-0.070619,2.362815,-0.065426,0.570959,-0.039701,1.349696,-0.397076,-1.358321,-0.262252,0.784119,0.455580,0.978906,0.648388,0.120932,0.719443,1.094089,-1.162624,0.864505,-1.414154,0.608175,0.807569,0.481641,0.399488,0.575669,0.018248,0.808881,-0.249097,-2.559919,-0.008205,-0.827487,-3.223410,-0.281365,-0.412546,0.649500,-0.596733,-0.394108,0.329340,-2.165092,1.144642,-0.359657,0.732986,-1.253929,0.766227,0.441875,1.322061,0.361404,0.765892,1.851742,-0.553483,-0.094850,0.247648,-0.937825,1.346012,0.836227,-0.675417,1.539104,1.388116,0.260260,-0.648267,1.933564
variable_6,-0.768483,-0.603666,-0.368142,-0.006187,-1.023337,0.006218,0.660565,-0.495712,-0.337457,1.032269,-0.899729,1.021368,-1.594841,0.392708,0.562158,0.516507,-1.077438,-0.102386,0.705651,0.380058,-0.008899,0.511682,0.612819,2.335134,2.266704,0.924130,0.036142,-2.227485,0.483215,-0.493198,0.830483,-2.529591,0.535663,0.240936,-1.630734,0.324256,0.456094,1.680340,1.688415,-0.294086,-0.421041,-0.162887,0.398747,0.238655,0.144104,1.886099,0.130219,0.533962,-0.508653,0.625408,-0.868849,-0.744315,1.725621,-0.123210,0.768746,-0.319411,0.573266,0.757898,0.051190,1.214898,0.782335,0.748814,-0.701217,-0.127116,-0.491648,-0.326037,-0.607759,-2.041906,-0.611461,-0.014555,0.067730,-1.498858,-0.001630,0.250114,0.872333,0.893415,-0.231388,2.594596,0.934187,0.124168,-1.195202,0.778249,-1.352929,2.073833,-0.569677,-0.424802,-1.969684,0.035804,0.806215,-0.931584,-0.233017,0.485566,1.030342,1.097407,0.341196,1.401801,1.214888,0.723966,-0.591004,-0.457516
variable_7,0.044220,-0.213047,2.511087,1.232650,2.082655,0.456835,0.702008,-1.508883,-0.757767,1.311601,0.232231,0.053112,-0.673995,0.374037,0.929138,1.609896,-1.140586,1.382259,-0.277736,0.605750,-0.757307,0.993387,0.566517,-1.718455,0.277998,0.576436,-2.622185,-0.231255,-0.136820,0.230983,-0.567947,-0.368904,0.417555,0.707350,-1.366455,0.601705,-3.080964,1.240713,1.010859,0.491813,-0.879744,-0.015176,-0.412100,0.421840,-2.095292,1.087866,-1.690567,-1.566630,-0.264202,-0.993370,1.529625,0.667568,-0.018509,0.732069,0.272140,-0.606721,0.803972,-0.537820,-1.176323,1.776192,0.539920,-0.631228,0.368500,1.012701,-0.979055,-0.704599,0.053613,-1.807779,0.712769,-0.707001,-1.023969,-1.186875,-1.667848,-0.030920,-1.330384,1.155991,0.243097,1.338411,1.885653,-0.862174,0.102688,-0.440445,-0.479889,1.617214,-2.808732,0.173705,-0.662137,-0.555944,-0.891115,3.037189,-1.032212,-0.127039,-1.765971,0.074617,-0.937732,-0.484660,-0.558986,1.798581,0.088559,0.022155
variable_8,-1.710980,1.672563,-0.235114,0.838439,0.458952,-0.440857,0.469166,-0.399692,0.711445,-1.046605,0.428788,-0.531764,1.334286,-0.084743,1.152351,-1.199872,1.128983,-0.223978,-0.553022,-0.726173,-0.695328,1.135425,1.720559,-0.742970,-0.335122,0.797122,-0.186051,-0.437164,-0.237870,0.289801,1.720431,-0.231810,1.627429,0.598246,0.639567,1.024977,1.597306,1.034427,-0.819869,1.429947,0.048302,1.326701,0.195257,0.454036,0.688952,0.382778,-0.604552,1.105505,-0.660651,-1.216210,1.708304,-0.970660,2.355363,-1.108106,2.866789,0.432931,1.396495,0.104344,-1.021473,-0.099196,-1.093076,-1.368565,1.236194,0.206372,-1.683582,-0.288167,-1.488632,0.709051,2.216142,0.031653,-1.747459,-0.271565,-0.834922,1.702109,-0.851453,0.642341,1.071743,0.255408,-1.149033,-0.085179,-0.167933,1.210426,1.267792,-0.729319,-0.128006,0.224213,-1.446694,-0.496736,-1.061795,0.649887,-2.662959,-0.706108,0.236302,0.580783,1.143285,-0.012570,-0.365877,-0.420139,0.647301,2.250392
variable_9,1.208327,0.078660,2.386318,-0.346694,0.711006,1.503006,0.199972,1.459006,1.098555,-0.459741,0.110885,-0.371927,0.408306,1.067675,-2.054395,-0.186613,-0.792113,-1.766279,-0.943472,0.412902,1.255679,-0.861569,-0.076703,0.872584,-0.671457,0.065308,-0.838766,-0.705142,-0.497197,-0.728213,0.628132,-0.466452,-0.300275,1.413903,-0.644082,0.229910,1.314392,-0.196786,-1.234630,0.962531,0.839508,-1.035458,-0.795424,1.238048,0.107142,-0.808625,2.121981,1.614169,-0.640630,0.100903,1.515508,-1.209252,-0.309723,-0.852293,-0.869995,-0.468463,0.368931,0.548814,1.950330,-0.476008,1.321629,-1.863206,1.452576,0.867105,0.036119,-0.671353,-0.597283,-2.430604,-0.332343,0.253676,-0.713379,-0.598760,0.668689,-1.540556,0.925806,-0.295625,-1.542692,-0.615802,1.209228,-0.036538,-0.722923,-0.610313,1.403075,1.819045,-0.642626,0.033197,0.544823,1.663971,-0.131017,0.950585,2.395483,-0.137114,1.148589,0.417026,0.124624,0.371391,-1.090769,-0.788065,-0.265903,0.794550
variable_10,-0.349225,1.292321,-0.171387,1.657245,0.701736,-0.886243,-1.417114,0.183537,-1.762877,0.099732,-0.829274,0.327686,2.166241,0.342762,-0.158355,0.088555,0.005027,0.954760,-0.483019,-0.283412,0.877444,-0.904392,0.359632,1.042961,-1.097665,-1.908280,0.085380,-1.456305,-0.190559,-0.414544,0.628487,0.761538,-0.198375,0.343151,-0.210436,-0.765993,-0.152022,1.488204,-0.314842,1.609914,-1.377028,0.094992,-1.226827,0.782277,-0.271846,0.073321,-0.590921,2.529728,-0.678457,-1.811201,-0.830257,-1.600971,1.665674,0.924142,1.279795,-2.010988,0.605720,-1.206906,0.264162,-1.181797,1.870328,0.362542,-0.412676,0.710345,0.528629,0.308750,-0.072431,0.973893,-1.237643,-0.619818,-0.667861,-0.876183,-0.175497,-0.380927,-0.569355,1.275469,-0.069191,0.369578,0.076183,1.711137,1.308621,-0.073521,-1.058519,-0.057799,-1.825695,1.229010,1.253149,-0.250115,-0.051201,0.620280,-0.960798,-0.053366,-0.927641,0.916458,1.511244,0.099598,0.660085,0.485832,0.276740,0.109183
