feature_index,signal_type,signal_scale,noise_variance
5,step,2.50,1.00
21,step,2.50,1.00
37,step,2.50,1.00
71,step,2.50,1.00
85,step,2.50,1.00
96,step,2.50,1.00
112,step,2.50,1.00
115,step,2.50,1.00
124,step,2.50,1.00
132,step,2.50,1.00
145,step,2.50,1.00
151,step,2.50,1.00
195,step,2.50,1.00
200,step,2.50,1.00
202,step,2.50,1.00
211,step,2.50,1.00
215,step,2.50,1.00
249,step,2.50,1.00
253,step,2.50,1.00
254,step,2.50,1.00
279,step,2.50,1.00
285,step,2.50,1.00
303,step,2.50,1.00
332,step,2.50,1.00
334,step,2.50,1.00
414,step,2.50,1.00
440,step,2.50,1.00
480,step,2.50,1.00
495,step,2.50,1.00
500,step,2.50,1.00
502,step,2.50,1.00
515,step,2.50,1.00
544,step,2.50,1.00
559,step,2.50,1.00
570,step,2.50,1.00
613,step,2.50,1.00
640,step,2.50,1.00
649,step,2.50,1.00
651,step,2.50,1.00
723,step,2.50,1.00
740,step,2.50,1.00
763,step,2.50,1.00
814,step,2.50,1.00
821,step,2.50,1.00
838,step,2.50,1.00
876,step,2.50,1.00
910,step,2.50,1.00
938,step,2.50,1.00
942,step,2.50,1.00
965,step,2.50,1.00
