variable,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
variable_1,1.847522,0.272051,0.562570,-0.752996,0.911703,1.935644,1.498668,-0.160091,-0.521479,0.987170,-0.155950,-0.983378,-1.646657,0.084427,0.775899,0.703335,0.854932,0.788425,1.004650,1.133551,-0.908489,-0.121305,0.300879,-1.124443,-0.591999,0.819924,0.063929,0.298853,1.750985,-1.612498,2.202776,0.872284,-0.419500,0.870409,0.084336,-2.143126,-0.771122,1.193950,0.565497,-1.079384,-0.036454,0.818493,0.420603,1.150358,0.898195,1.289347,-0.697898,0.719258,0.425273,-2.264544,0.481997,0.415893,0.694432,0.076447,-0.415210,-0.705823,-0.337303,0.998553,-0.748533,0.382600,-0.132260,1.039458,-0.254648,-1.186698,-0.477006,0.438251,0.051844,1.778109,-0.088892,-1.541575,1.235307,-0.341920,0.203974,-2.070636,-0.837996,1.050819,-1.004341,-0.007905,0.020727,0.302302,0.037768,1.352331,0.519446,-0.266586,-0.456248,0.338767,0.471735,-0.923564,0.154250,1.200232,-0.541057,-0.362049,0.159312,-0.703185,1.254596,0.601660,0.348948,-0.365242,1.317005,0.308410
variable_2,0.162948,-2.628171,1.087321,-0.085519,0.492467,0.091128,1.165213,-2.592827,-0.607791,0.201835,0.473966,1.918401,0.429282,1.121875,-0.962263,-0.432954,-1.625547,1.307176,-0.688742,0.599164,0.018187,0.396560,0.243539,0.178681,1.617366,-0.884650,1.063036,-1.022042,-0.974040,-1.688640,-0.534247,-1.024418,1.778180,-0.286811,0.034335,0.749097,0.709788,-0.342476,0.021019,-0.102537,-0.194258,-1.046767,0.290080,1.128488,0.106962,-0.037322,1.252301,-0.025397,0.355695,-0.803270,0.954517,0.328877,0.260472,0.330486,1.016881,0.481754,-0.931343,0.220744,-0.598576,0.726933,1.522642,-0.176766,-1.435221,-0.669542,0.409025,-1.366002,-1.050922,-0.325844,-2.508039,-0.298687,-0.226385,-0.441282,-2.396404,0.737044,-1.168891,-1.263289,2.309836,-0.889023,0.538816,1.085299,0.906972,-0.173316,-1.152165,-0.309529,0.093607,0.477724,1.425656,0.021082,-0.990584,-0.185433,0.002380,1.079184,0.116850,-1.790033,1.293443,-1.254151,-0.204916,0.751837,-1.485545,-0.590064
variable_3,0.017016,-0.414819,-0.397140,0.519007,1.043387,0.116661,-1.312863,-0.366199,1.503029,-0.937066,0.131556,0.031221,-0.672298,-0.151243,0.697939,0.031260,0.522551,-0.700065,-0.310699,-1.102156,0.328337,-1.078011,-0.914434,0.052050,-0.371283,-0.093377,0.549437,0.535730,0.280085,0.627515,0.440632,1.654329,-0.649532,0.824438,-0.344801,-2.451726,0.719722,0.700031,0.566956,-0.797665,1.113872,1.853184,-0.053032,1.193220,0.943823,-0.335532,-0.166748,-0.008070,0.835549,-2.130837,-1.879163,0.017188,-0.635628,1.201158,-0.151822,-1.844214,-0.261195,0.092782,-1.381908,1.610894,0.460206,-0.269082,-0.604843,0.206557,-0.108133,0.767520,0.378095,-0.148014,-1.584790,-0.257917,-0.338890,0.594117,0.889109,-0.672768,-0.802774,-0.142505,0.957060,-0.498490,-1.117280,0.143682,0.454950,0.535289,0.531258,-0.673886,1.086910,0.094387,1.579259,-1.855753,-0.247874,-1.304865,-0.780399,0.884090,0.258050,0.801014,0.356793,-0.765663,-0.365477,-1.090263,0.665912,0.780171
variable_4,1.479908,1.338093,0.711245,-0.430343,0.038675,-0.106893,-0.443938,-0.226077,-0.192784,-3.734567,0.325950,1.193592,0.638047,-0.318055,0.083705,-1.808065,0.393583,-1.062734,-0.287341,-0.412020,-0.394455,0.188605,0.531942,-0.647305,-0.033784,-1.226703,-0.538193,-0.395474,-0.264909,0.349387,1.414131,-0.270558,0.751272,0.008670,-0.262119,0.596999,-0.484754,0.290111,0.770351,1.179734,-0.251200,0.288929,1.684856,0.821895,0.175354,-1.347426,0.367923,-0.994863,-0.229725,-0.371551,0.027277,1.224356,0.749006,0.300294,0.185099,0.217163,-0.429859,0.199536,1.286912,0.321013,1.467132,-0.348630,-0.652737,-1.511722,0.201352,-0.253963,0.002075,-0.166744,-0.672229,1.960961,0.430363,0.692491,-1.508951,0.477445,-0.799572,-0.547706,-0.850071,2.134015,-0.804224,0.347847,0.082094,1.397367,0.144668,1.673324,-0.664628,-0.276948,-0.069251,1.855624,0.550870,0.142558,-0.183705,2.989742,1.936044,-0.624306,-0.962638,0.843483,0.764253,-0.559219,2.075719,-1.390580
variable_5,-0.200587,0.758265,-0.017115,0.897840,0.495229,0.140406,0.377907,-0.931462,0.312682,-0.144473,-1.047076,-0.977299,-0.955832,-1.043674,0.145718,-0.060908,1.455494,0.197064,-0.074839,0.630878,1.166387,-0.563843,-0.183813,-2.356318,1.165662,-0.875701,1.054018,-1.474282,0.052408,2.299494,1.851761,-1.263303,1.107269,-0.361637,-0.222753,-0.465475,1.679752,0.339063,-0.622449,-0.745413,1.149350,-0.384193,0.103986,1.041645,-0.543756,-0.861290,-0.028511,-0.815324,-0.023435,0.375422,-0.641406,0.934027,-1.439864,0.172016,-0.135372,-0.636566,-0.350957,0.309506,-0.428319,-0.189516,0.302596,0.710964,1.666791,0.399524,-0.924868,0.656706,0.702202,0.580340,0.073829,0.860866,-0.856316,0.283389,-0.023352,0.566256,0.483384,-1.598569,1.382210,1.008879,-0.464221,-0.841324,-0.526671,-1.268243,0.535937,1.193973,1.832526,-0.862610,-0.464046,0.852237,1.375974,-0.820392,0.011435,-1.363237,0.894891,1.012482,-0.313505,-0.799013,-0.516777,0.473749,1.864945,-0.678124
variable_6,-0.532751,1.114006,-0.937857,1.975898,0.555306,-1.386189,2.582775,-0.269097,0.754265,-1.770104,0.517328,-0.946179,1.055447,2.050028,-1.009258,0.301243,0.236203,-0.408881,2.387418,-0.412745,1.404521,0.328163,1.819906,-0.602575,-0.400491,0.723216,0.554641,0.816621,-0.714369,-0.251755,-1.253798,1.536102,-0.881602,-1.164152,0.012834,-0.848435,0.151614,0.145896,0.954394,1.076486,0.021229,0.641194,0.610831,-0.847920,0.780456,0.699281,-0.069942,0.092819,0.491290,-0.830688,-0.880653,-0.685433,-1.432972,0.554382,1.053017,0.351506,-0.717986,1.622165,-0.357427,-1.643878,-0.875533,-0.959413,-0.419982,-0.965957,1.592766,0.165999,0.236766,1.008755,-0.508795,0.768736,-0.770049,-0.484502,0.685238,-0.862392,-0.282523,1.076639,0.340373,-0.423324,-0.343295,0.477850,-0.062066,1.144599,-1.055160,-1.109304,0.813090,0.351831,0.162792,0.883966,1.466242,0.203931,-0.727185,0.949534,-0.650281,0.171797,0.833401,-0.876700,-1.941364,-1.040294,0.874904,-0.377790
variable_7,0.819464,-0.989203,0.739467,1.271914,0.109366,-0.862506,-0.109852,-0.254345,-0.895546,0.004611,1.702229,-0.661642,0.599933,-1.241307,-0.563003,-1.134700,-0.653627,-1.313979,-0.855353,-0.668004,-0.356307,-0.286345,0.578406,1.146725,-0.265071,1.740323,1.730122,-0.004551,-0.289504,-0.194611,0.650673,0.135921,-0.440683,-0.432229,-1.507921,-1.894895,0.977594,0.058569,0.091144,-0.018690,-1.217232,0.338065,0.490022,0.590727,-1.157071,-1.168165,0.383287,-0.178452,-0.784368,-0.205678,1.052027,-0.692613,0.621772,-1.342406,-0.822291,-0.058856,0.586116,-0.374600,-1.580589,-1.402369,-0.194580,0.195317,0.788561,1.672979,0.545536,-0.856989,-1.128767,1.198588,0.531849,-0.387237,0.001882,2.361771,-0.319109,-0.967475,-1.929555,-0.134308,-0.633767,1.460528,-1.541850,0.900093,-1.734145,0.725074,-0.156718,-0.102792,0.285264,1.923648,-1.559148,-0.071675,-0.136830,1.752979,0.479588,-0.378995,0.793381,-0.837642,0.393527,1.235477,0.250213,-1.614588,0.847990,-1.381106
variable_8,2.063780,-0.928312,1.272374,0.001066,-0.179713,0.122959,-1.231483,0.943431,0.104582,0.967377,0.196503,-0.475797,-1.452681,0.700100,1.517642,0.794949,0.420844,-0.638611,-0.025928,1.336141,-0.232841,0.825333,-2.378628,-0.425276,0.372143,-0.674890,-0.716461,0.179256,1.429954,0.391804,-2.422723,-2.238798,-2.852288,-1.318039,1.622940,1.346378,-0.604897,0.490229,-0.968525,-1.263265,-1.306510,1.049178,-0.274781,1.073270,0.377752,-0.472676,-0.349060,0.358683,-1.100130,1.257450,-1.317359,-0.068501,-0.398997,0.614515,0.962398,0.610954,0.677664,0.242414,-0.774422,-1.252708,-1.086622,0.023639,1.984730,-0.217216,-0.581660,-1.991579,-0.602151,-0.340203,-0.012772,-0.513215,0.841793,0.303541,-0.579414,-1.266129,1.566601,-1.314666,-0.184397,0.333497,1.153429,-1.657261,0.222335,1.524302,-0.355591,1.504350,-0.861671,-0.263294,0.408971,-1.307697,0.445929,0.895975,-0.189661,0.565240,-0.621419,-0.231350,-1.903342,-1.644731,-0.560865,1.661256,0.525396,0.346511
variable_9,-0.817146,0.692826,-0.415425,0.487409,1.085044,1.251308,-0.579074,-1.110195,0.379931,-0.240426,0.754970,0.709023,-0.448021,-1.090045,-1.444392,2.869267,0.373262,0.217382,-0.144533,-0.820629,-1.602820,-0.914742,0.851036,-1.387661,-2.177879,0.496997,-0.017786,-2.617822,0.534491,0.109399,0.304553,0.929510,1.552229,-0.126928,-0.722337,0.949041,-1.222335,-0.800725,0.579794,-0.467965,-0.377322,0.785585,-1.306234,1.010845,3.213855,0.562482,-0.043784,-0.259543,-0.859124,0.667337,-2.081783,-0.442189,1.249534,0.147780,0.197984,-1.375770,1.525724,-0.327958,0.625337,-1.814208,-1.575314,0.337739,-0.155014,-0.596683,-1.660677,0.419398,-1.311927,-0.431328,-0.408067,1.814243,1.054873,0.650286,1.772319,-0.126303,0.915786,0.476842,-0.581527,0.531544,-0.062082,-1.277508,0.642450,-1.088579,0.496072,1.065926,-1.214112,0.475178,1.982095,1.615191,-1.413993,-1.024376,-1.659592,-1.654483,-0.081177,-0.291129,-0.511744,0.949584,0.026819,1.162920,-0.700324,-0.355777
variable_10,-0.770901,-0.448318,0.654422,-0.379505,0.672933,0.348042,-0.770657,0.905953,0.099314,0.914282,-0.485039,-1.384819,-0.799224,-1.237070,0.121123,-0.408379,-0.569923,-2.162584,-2.027269,-0.207880,0.857283,-0.265837,0.701783,-0.928823,1.611421,-1.147951,1.567776,1.248675,1.090680,1.733831,0.198730,0.464748,-1.925307,-0.418096,0.490056,1.490688,1.921994,1.276623,-2.124506,-0.485906,0.366905,0.998859,-0.214170,1.704166,-0.731535,-0.790155,-0.235754,-2.200939,-0.633515,-1.052531,0.512501,0.344701,-1.364805,-1.227357,1.270260,0.226066,2.033843,-0.200582,-1.119232,-0.284220,0.061015,-0.134824,-1.579758,1.596933,-0.831841,1.024970,-1.070375,1.343769,-0.408667,-0.120753,-0.938295,-0.006572,1.047511,-0.672174,-0.897336,-0.634598,0.352519,0.565340,-0.481661,-0.664668,-0.208219,-0.728614,-0.543195,-1.357202,1.156841,0.548548,0.123356,-0.458252,0.533504,-0.386348,0.016103,-0.873849,0.220477,-0.629667,1.780587,-1.275556,0.425466,-0.638742,-1.648286,-0.756436
